"X8.Number.of.samples"	"X8.KL.divergence"
"590"	11800	0.000785504354934269
"591"	11820	0.000812974785437397
"592"	11840	0.000793023191557279
"593"	11860	0.000761889937699913
"594"	11880	0.000782008576451507
"595"	11900	0.000746516502783308
"596"	11920	0.000765567237429931
"597"	11940	0.000778887511456798
"598"	11960	0.00079146927284466
"599"	11980	0.000825286710849745
"600"	12000	0.00077342792971903
"601"	12020	0.000759169799159513
"602"	12040	0.000785113150379041
"603"	12060	0.000753442751142498
"604"	12080	0.000858101048855994
"605"	12100	0.000794199878016408
"606"	12120	0.00073641775639582
"607"	12140	0.000745784322529317
"608"	12160	0.000785203661128822
"609"	12180	0.000771417075935778
"610"	12200	0.000776335101960324
"611"	12220	0.00074327598883427
"612"	12240	0.000783614681123548
"613"	12260	0.000774536020203059
"614"	12280	0.000774533523715721
"615"	12300	0.000782043531255948
"616"	12320	0.000788426112619657
"617"	12340	0.000741295174702033
"618"	12360	0.000741540839518472
"619"	12380	0.000741725317331403
"620"	12400	0.00073625005081348
"621"	12420	0.000761581770625139
"622"	12440	0.000799203497692535
"623"	12460	0.000753388959819023
"624"	12480	0.000726122505718591
"625"	12500	0.000783179816647496
"626"	12520	0.000764760239757572
"627"	12540	0.000756940433672373
"628"	12560	0.000752760006255297
"629"	12580	0.000728357768851159
"630"	12600	0.000737285080550386
"631"	12620	0.000743859345469592
"632"	12640	0.000748462028054389
"633"	12660	0.000729501172639244
"634"	12680	0.000750634421637016
"635"	12700	0.00071379727556408
"636"	12720	0.000754172699542968
"637"	12740	0.000695862383591299
"638"	12760	0.000660679435450121
"639"	12780	0.000755913113070571
"640"	12800	0.000741307260170518
"641"	12820	0.00074807880351502
"642"	12840	0.000700343107730726
"643"	12860	0.000765051297396133
"644"	12880	0.000757939138653405
"645"	12900	0.000746125391004044
"646"	12920	0.000718312655996806
"647"	12940	0.000713909020465189
"648"	12960	0.000725850928978865
"649"	12980	0.000742777252419844
"650"	13000	0.000725565556205846
"651"	13020	0.000730475956745713
"652"	13040	0.000731090902645811
"653"	13060	0.00070466481902972
"654"	13080	0.000709585863311696
"655"	13100	0.000708121060691592
"656"	13120	0.000738538294218082
"657"	13140	0.000721738376999636
"658"	13160	0.00070990800988048
"659"	13180	0.000715331222266939
"660"	13200	0.000730754532499863
"661"	13220	0.000744031370472869
"662"	13240	0.000755105219300396
"663"	13260	0.000729474996426257
"664"	13280	0.000752838160961035
"665"	13300	0.000757454826522664
"666"	13320	0.000691415950558114
"667"	13340	0.000717986367250754
"668"	13360	0.000681486274497071
"669"	13380	0.000731376279000563
"670"	13400	0.000690265342936858
"671"	13420	0.000687722616969341
"672"	13440	0.000702120806695125
"673"	13460	0.00068860596183718
"674"	13480	0.000702505683054043
"675"	13500	0.000692450564294811
"676"	13520	0.000701087134664693
"677"	13540	0.00070931336305593
"678"	13560	0.000716713490464219
"679"	13580	0.000684572442956413
"680"	13600	0.000731013591221387
"681"	13620	0.000659175166969054
"682"	13640	0.000652219420588044
"683"	13660	0.000666537272998376
"684"	13680	0.000691119748306617
"685"	13700	0.00068881951059153
"686"	13720	0.000716288502669186
"687"	13740	0.000685120971706809
"688"	13760	0.000708954165702893
"689"	13780	0.000743942064432758
"690"	13800	0.000702899414659679
"691"	13820	0.00069639311778932
"692"	13840	0.00065331652395813
"693"	13860	0.000707519779316828
"694"	13880	0.00070602773496984
"695"	13900	0.000707517133318862
"696"	13920	0.000646910986136138
"697"	13940	0.00065923467509997
"698"	13960	0.000676932124799592
"699"	13980	0.000699540951561576
"700"	14000	0.000680455775394647
"701"	14020	0.000686508185445924
"702"	14040	0.000667648659253155
"703"	14060	0.00067992595559387
"704"	14080	0.000697011020168482
"705"	14100	0.000638540503346306
"706"	14120	0.000685828858081484
"707"	14140	0.000639375478020085
"708"	14160	0.000677021033833634
"709"	14180	0.000661075140060987
"710"	14200	0.000674880853218084
"711"	14220	0.000672330868663042
"712"	14240	0.000720636099880229
"713"	14260	0.000654888176290635
"714"	14280	0.00071898737041147
"715"	14300	0.000646322975115581
"716"	14320	0.000718525365293762
"717"	14340	0.000657003791053569
"718"	14360	0.000631033415153981
"719"	14380	0.000674729344051321
"720"	14400	0.00063849339955251
"721"	14420	0.000652451950251662
"722"	14440	0.00063858490831844
"723"	14460	0.000656593700489899
"724"	14480	0.000733181830573267
"725"	14500	0.000688510430436442
"726"	14520	0.000686018070790144
"727"	14540	0.000667453199185001
"728"	14560	0.000656427615886692
"729"	14580	0.0006693405445892
"730"	14600	0.00064891819251585
